id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3344,"White House/Center City, 1 roommate",4957,A.J.,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90126,-77.02857,Private room,48,306,11,2016-08-31,0.09,2,363
3362,"Convention Center Rowhouse & In Law: 2 Units, 4BR",2798,Ayeh,,"Shaw, Logan Circle",38.91046,-77.01933,Entire home/apt,433,2,165,2019-06-30,1.29,5,321
3662,Vita's Hideaway II,4645,Vita,,Historic Anacostia,38.86193,-76.98963,Private room,65,2,36,2019-04-14,0.36,3,274
3670,Beautiful Sun-Lit U Street 1BR/1BA,4630,Sheila,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91842,-77.0275,Private room,75,2,79,2018-07-25,1.50,1,365
3686,Vita's Hideaway,4645,Vita,,Historic Anacostia,38.86314,-76.98836,Private room,55,2,70,2019-05-18,0.66,3,235
3771,Mt. Pleasant,4795,Charlene,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9276,-77.03926,Private room,88,1,1,2009-01-21,0.01,1,0
4197,Bedroom in DC 2 blocks to Metro,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88791,-76.99668,Private room,83,60,41,2019-06-02,0.33,2,87
4501,DC Rowhouse,1585,Kip,,"Shaw, Logan Circle",38.91331,-77.02436,Private room,475,2,120,2015-07-16,0.94,1,0
4529,Bertina's  House Part One,5803,Bertina'S House,,"Eastland Gardens, Kenilworth",38.90645,-76.94305,Private room,65,5,102,2019-07-05,0.84,2,179
4967,"DC, Near Metro",7086,Seveer,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.91263,-76.99221,Private room,99,2,31,2016-09-22,0.29,3,181
5589,Cozy in Adams Morgan,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91933,-77.04124,Entire home/apt,118,2,90,2019-06-10,0.75,3,9
